director_id;name
nm0946521;David Yarovesky
nm0000464;Jim Jarmusch
nm0716347;Nicolas Winding Refn
nm1164755;Xavier Gens
nm0241049;Josh Duhamel
nm0088397;Bertrand Blier
nm0946811;Peter Yates
nm0164187;Larry Clark
nm0181579;Rodrigo Cortés
nm0496969;Lee Chang-dong
nm0533691;Angus MacLane
nm0885249;Jean-Marc Vallée
nm0615592;Andy Muschietti
nm0000850;Clive Barker
nm0744834;Eli Roth
nm0002044;Roger Donaldson
nm3771823;Daniel Goldhaber
nm0801533;Jean-Pierre Sinapi
nm0741262;Bernard Rose
nm4804442;Nia DaCosta
nm0487166;Yorgos Lanthimos
nm1701024;Nadine Labaki
nm0005295;Trey Parker
nm0339030;Paul Greengrass
nm0001382;Peter Hyams
nm0002653;Joe Johnston
nm0743671;Matt Ross
nm1349818;Anna Boden
nm0281396;Ryan Fleck
nm2214369;Andy Mitchell
nm3262170;Ben Howling
nm3447602;Yolanda Ramke
nm0637615;Gaspar Noé
nm0710020;Joe Ranft
nm0506977;Bradford Lewis
nm3468066;Jung Byung-gil
nm0002031;Michael Curtiz
nm0058713;Maurice Barthélémy
nm0826259;Lionel Steketee
nm4662274;Jérémie Rozan
nm0132709;Martin Campbell
nm0797869;Brad Silberling
nm0458251;Cédric Klapisch
nm0235719;John Erick Dowdle
nm0685759;Pitof
nm0340793;James P. Gribbins
nm0837661;Steve Suissa
nm0363553;Robert Harmon
nm0583600;Nancy Meyers
nm2088446;Alauda Ruiz de Azúa
nm0357725;Andy Hamilton
nm0420746;Guy Jenkin
nm0254786;David R. Ellis
nm0315041;Ricky Gervais
nm0580351;Stephen Merchant
nm1074691;John Kafka
nm5278146;Aaron Hann
nm5278427;Mario Miscione
nm0954786;Mahmoud Zemmouri
nm5282204;Michael Carney
nm0069715;Rémy Belvaux
nm0095298;André Bonzel
nm0688143;Benoît Poelvoorde
nm1698571;Evan Goldberg
nm0736622;Seth Rogen
nm0792263;Taylor Sheridan
nm1224299;Rob Letterman
nm1847738;Ari Sandel
nm0405632;Mikael Håfström
nm0275250;Javier Fesser
nm0002045;Stanley Donen
nm0000037;Gene Kelly
nm0088955;Neill Blomkamp
nm0375068;Mark Helfrich
nm0473941;Dan Kuenster
nm0412247;Guillaume Ivernel
nm0704588;Arthur Qwak
nm0269463;Jon Favreau
nm0459170;Randal Kleiser
nm0001338;Brian Helgeland
nm0551128;Rob Marshall
nm0227540;Mark Dindal
nm0520485;Peter Lord
nm0661910;Nick Park
nm5928382;Jean-Baptiste Durand
nm0000316;Mel Brooks
nm0000591;Roman Polanski
nm0244378;Xavier Durringer
nm2016267;Toby Meakins
nm0021577;Merzak Allouache
nm0000118;John Carpenter
nm2503633;Josh Trank
nm0070474;Jack Bender
nm0480843;John Lafia
nm0939182;Kar-Wai Wong
nm0190861;Jonás Cuarón
nm2132883;Alain Darborg
nm0868153;Giuseppe Tornatore
nm0532360;Sean MacGregor
nm0791007;David Sheldon
nm0000080;Orson Welles
nm1046334;Masaharu Okuwaki
nm1829961;Kenji Kodama
nm0753423;Ryoo Seung-wan
nm2282597;Nathanaël Guedj
nm9970487;Adrien Piquet-Gauthier
nm0889513;Agnès Varda
nm0003620;Kevin Smith
nm0178997;Frank Coraci
nm3237056;Alexis Jacknow
nm0609236;Jonathan Mostow
nm0878756;Tom Tykwer
nm0716257;Matt Reeves
nm0528718;Jonathan Lynn
nm0141961;Thomas Carter
nm0181902;George P. Cosmatos
nm2775497;Matthias Hoene
nm0881279;Lee Unkrich
nm2937122;Adrian Molina
nm0255362;Gad Elmaleh
nm3728712;Jeff Chan
nm0000887;Harold Becker
nm0958969;Harald Zwart
nm0003418;Rob Cohen
nm0812200;Iain Softley
nm0236226;Michael Dowse
nm0126096;James Ward Byrkit
nm0752328;Stefan Ruzowitzky
nm0353673;Paul Haggis
nm0576298;Olivier Megaton
nm0750701;Richard Rush
nm0822582;Richard Stanley
nm1443023;Nacho Vigalondo
nm0514906;Chia-Liang Liu
nm0000329;Jackie Chan
nm3034178;Desiree Akhavan
nm0504495;Mark L. Lester
nm0349183;Lawrence Guterman
nm0719208;Chris Renaud
nm3646390;Jonathan del Val
nm1763490;Julien Hallard
nm0018132;Lisa Azuelos
nm0169300;Daniel Cohen
nm14753402;Ryo Takebayashi
nm0000824;John Badham
nm0644393;Christophe Offenstein
nm4765550;Orelsan
nm2537631;Douglas Attal
nm0000985;James L. Brooks
nm0677953;Donald Petrie
nm0587518;John Milius
nm6174515;Tae-hwa Eom
nm0418986;Charles Jarrott
nm0006625;Steve Barron
nm4915522;Yang Li
nm3409161;Romuald Boulanger
nm1349376;Francis Lawrence
nm0001752;Steven Soderbergh
nm0867262;Stanley Tong
nm1660595;Charlie McDowell
nm2389602;Franck Mancuso
nm0134224;Kay Cannon
nm0000835;Ralph Bakshi
nm0000750;Jon Amiel
nm0783139;Henry Selick
nm0698125;Rob Pritts
nm4864836;Edward Drake
nm0180404;Clovis Cornillac
nm0149446;Gurinder Chadha
nm0585011;Roger Michell
nm0000269;Jean-Jacques Annaud
nm0997841;Hervé Renoh
nm0573589;David McNally
nm0014960;Alexandre Aja
nm0006969;Elizabeth Banks
nm0159507;Stephen Chow
nm0160840;Jon M. Chu
nm0275629;Glenn Ficarra
nm0720135;John Requa
nm0950000;Robert Young
nm0770961;Fred Schepisi
nm4023702;Steven Caple Jr.
nm0430107;Michael B. Jordan
nm0001681;George A. Romero
nm0265363;Peter Faiman
nm0180257;John Cornell
nm0934578;Simon Wincer
nm0318916;Craig Gillespie
nm0000691;John Waters
nm0304521;Christophe Gans
nm0622112;Vincenzo Natali
nm0053228;Ernie Barbarash
nm0782900;Andrzej Sekula
nm0003974;Philippe Muyl
nm0853546;Lewis Teague
nm0741942;Dan Rosen
nm0719320;Kimble Rendall
nm1925637;David Charhon
nm0710919;Jean-Paul Rappeneau
nm0918873;Sam Weisman
nm0509409;Robert Lieberman
nm4355349;Maxime Govare
nm0295107;Liz Friedlander
nm0281598;Andrew Fleming
nm0001226;James Foley
nm0001129;Jonathan Demme
nm0393799;Tom Hooper
nm0504642;Louis Leterrier
nm1637832;Daniel Roby
nm0001175;Blake Edwards
nm0075849;Shari Springer Berman
nm0700301;Robert Pulcini
nm0456732;Karey Kirkpatrick
nm0002728;Juan José Campanella
nm0181741;Don Coscarelli
nm0845973;Sylvio Tabet
nm0425756;Mark Steven Johnson
nm0005421;Ron Shelton
nm0001639;Alex Proyas
nm0001345;Jim Henson
nm0758574;Walter Salles
nm0000600;Sam Raimi
nm0365666;John Harrison
nm0680846;Todd Phillips
nm0675102;J.J. Perry
nm1294961;Michael Spierig
nm1294962;Peter Spierig
nm2692858;Fernando González Molina
nm0649117;Niels Arden Oplev
nm0726034;Patrick Ridremont
nm0666548;Chuck Patton
nm0311435;Curt Geda
nm0381817;Vinton Heuck
nm4098523;Anna Elizabeth James
nm1783265;Tim Miller
nm3234892;Joseph Winter
nm3229654;Vanessa Winter
nm2282177;Justin Simien
nm1417392;Adam Wingard
nm0661791;Park Chan-wook
nm1175724;Noboru Iguchi
nm0001460;Mimi Leder
nm0001716;Tony Scott
nm0001988;Marc Caro
nm0337773;David Gordon Green
nm0542539;Tom Mankiewicz
nm0000958;John Boorman
nm0811714;Michele Soavi
nm0324875;Menahem Golan
nm0312315;Hugo Gélin
nm0000941;Kathryn Bigelow
nm0104193;Marco Brambilla
nm0145309;Nick Castle
nm3613566;Yeon Sang-ho
nm2341611;Jeff Orlowski-Yang
nm0384825;John Hillcoat
nm1444412;Oz Rodriguez
nm0531817;Kevin Macdonald
nm0939128;James Wong
nm0007139;Hark Tsui
nm0003343;Rob Schmidt
nm0946179;Jean Yanne
nm0105317;Patrick Braoudé
nm0476123;Diane Kurys
nm0601382;John Moore
nm0936482;Len Wiseman
nm1196794;Olivier Van Hoofstadt
nm0510674;Kevin Lima
nm0001915;Emile Ardolino
nm0563243;Dan Mazer
nm0001774;Ben Stiller
nm1139726;Neil Burger
nm0777881;Robert Schwentke
nm3997700;Houda Benyamina
nm1093039;Mike Flanagan
nm1730221;Reid Carolin
nm1475594;Channing Tatum
nm1320966;Kim Chapiron
nm0001112;Andrew Davis
nm0813309;Courtney Solomon
nm0197855;John Francis Daley
nm0326246;Jonathan Goldstein
nm0446819;Richard Kelly
nm2140186;Rodo Sayagues
nm1096524;Jacob Estes
nm0570912;Adam McKay
nm0551076;Neil Marshall
nm0580982;Agnès Merlet
nm0504802;Sheldon Lettich
nm0000915;Bruce Beresford
nm0589284;Sam Miller
nm0000091;Gérard Pirès
nm0668247;Alexander Payne
nm0858525;Betty Thomas
nm0632788;Daisuke Nishio
nm0945674;Shigeyasu Yamauchi
nm1387613;Kazuhisa Takenouchi
nm0440391;Osamu Kasai
nm0619110;Tatsuya Nagamine
nm10429652;Tetsuro Kodama
nm0973920;Yoshihiro Ueda
nm0973260;Mitsuo Hashimoto
nm0396075;Masahiro Hosoda
nm2238569;Tadayoshi Yamamuro
nm2392459;Makoto Hanafusa
nm2395339;Ryuichi Yagi
nm0945724;Takashi Yamazaki
nm3014829;Tomer Eshed
nm0711840;Brett Ratner
nm0213450;Dean DeBlois
nm0761498;Chris Sanders
nm4998869;Lee Byeong-heon
nm5589501;Kristoffer Borgli
nm0001410;Lawrence Kasdan
nm0871428;Pete Travis
nm0109359;Steven Brill
nm0358327;Nick Hamm
nm0881038;Ron Underwood
nm0899121;Thomas Vinterberg
nm0494355;Philippe Le Guay
nm0612322;Robert Mulligan
nm0003474;Troy Miller
nm0272568;Norman Ferguson
nm0281945;Anne Fletcher
nm0006904;Tony Gilroy
nm0323239;Will Gluck
nm0229694;David Dobkin
nm0540330;Bruce Malmuth
nm0481418;Richard LaGravenese
nm0002077;Dexter Fletcher
nm1220140;James Watkins
nm0500988;Claude Lelouch
nm1119022;Alexis Michalik
nm0065449;Jean Becker
nm0500444;Danny Leiner
nm1193346;Sean Ellis
nm0319213;Vince Gilligan
nm2507695;Rodrigo Sorogoyen
nm0423524;Alejandro Jodorowsky
nm0101385;Rob Bowman
nm0812307;Peter Sohn
nm0001814;Gus Van Sant
nm1164602;Ciarán Foy
nm0410769;Robert Iscove
nm0380831;Jeanne Herry
nm0206760;Jonathan Dayton
nm0267512;Valerie Faris
nm0258424;Anne Goursaud
nm0002191;Jacques Audiard
nm0569790;Douglas McGrath
nm0415333;Just Jaeckin
nm0610496;Allan Moyle
nm0768959;Dan Scanlon
nm3362170;Julien Hollande
nm0426333;Tim Johnson
nm0005647;Andrzej Bartkowiak
nm1158544;Jared Bush
nm0397174;Byron Howard
nm4146781;Charise Castro Smith
nm0333818;Benoît Graffin
nm0000601;Harold Ramis
nm0001587;Alan J. Pakula
nm0102873;Harry Bradbeer
nm1785320;Sophie Letourneur
nm0042006;Scott Aukerman
nm0350957;Manuel Gómez Pereira
nm0001403;Neil Jordan
nm0298807;Antoine Fuqua
nm0934483;Kurt Wimmer
nm0266777;Stefen Fangmeier
nm0041334;Stéphane Aubier
nm0665262;Vincent Patar
nm2883649;Benjamin Renner
