movie_id;prod_id
tt0012973;co0081405
tt0012973;co0234646
tt0012975;co0073404
tt0013033;co0082104
tt0013033;co0141883
tt0013059;co0392878
tt0013075;co0075561
tt0013085;co0037527
tt0013134;co0158100
tt0013140;co0048238
tt0013169;co0146496
tt0013201;co0075561
tt0013223;co0055759
tt0013332;co0007705
tt0013367;co0083831
tt0013372;co0023400
tt0013386;co0005073
tt0013402;co0028775
tt0013404;co0047533
tt0013428;co0001429
tt0013428;co0011145
tt0013428;co0141125
tt0013442;co0068572
tt0013442;co0088100
tt0013450;co0130877
tt0013469;co0021326
tt0013496;co0137890
tt0013515;co0042390
tt0013556;co0047185
tt0013571;co0076691
tt0013574;co0047533
tt0013579;co0060439
tt0013590;co0110876
tt0013592;co0017222
tt0013597;co0073678
tt0013607;co0028775
tt0013619;co0244245
tt0013662;co0064360
tt0013674;co0152178
tt0013688;co0065861
tt0013704;co0048238
tt0013705;co0011767
tt0013741;co0027065
tt0013741;co0081895
tt0013750;co0073404
tt0013802;co0023400
tt0013830;co0077525
tt0013909;co0028775
tt0013933;co0016449
tt0013951;co0023400
tt0014029;co0040434
tt0014108;co0088098
tt0014109;co0050989
tt0014112;co0083831
tt0014142;co0005073
tt0014205;co0073404
tt0014341;co0000357
tt0014358;co0028083
tt0014397;co0040010
tt0014397;co0166284
tt0014416;co0064360
tt0014417;co0081403
tt0014429;co0075561
tt0014440;co0042390
tt0014446;co0044191
tt0014463;co0005073
tt0014497;co0073678
tt0014516;co0081892
tt0014524;co0083829
tt0014532;co0023400
tt0014532;co0044824
tt0014538;co0081891
tt0014586;co0145676
tt0014604;co0054813
tt0014605;co0110876
tt0014606;co0005073
tt0014611;co0075561
tt0014624;co0028083
tt0014636;co0023400
tt0014646;co0127516
tt0014672;co0054813
tt0014702;co0002663
tt0014721;co0165124
tt0014760;co0027170
tt0014770;co0032705
tt0014826;co0028775
tt0014854;co0064360
tt0014854;co0139525
tt0014869;co0110876
tt0014874;co0005073
tt0014898;co0085570
tt0014900;co0021661
tt0014925;co0047533
tt0014945;co0137892
tt0014972;co0007143
tt0014982;co0010967
tt0015002;co0137892
tt0015014;co0031400
tt0015016;co0028775
tt0015018;co0054813
tt0015022;co0047752
tt0015022;co0073404
tt0015036;co0036242
tt0015064;co0021661
tt0015116;co0023400
tt0015119;co0002663
tt0015136;co0021661
tt0015145;co0023400
tt0015163;co0081891
tt0015167;co0114101
tt0015174;co0021661
tt0015174;co0069975
tt0015175;co0021661
tt0015175;co0069975
tt0015200;co0023400
tt0015202;co0041167
tt0015213;co0127516
tt0015214;co0090290
tt0015214;co0199228
tt0015214;co0516057
tt0015224;co0047533
tt0015268;co0047752
tt0015289;co0110876
tt0015310;co0165124
tt0015312;co0000357
tt0015324;co0081891
tt0015361;co0114101
tt0015361;co0114102
tt0015361;co0787226
tt0015400;co0047185
tt0015493;co0103052
tt0015498;co0073678
tt0015500;co0047752
tt0015518;co0047752
tt0015518;co0073404
tt0015532;co0086346
tt0015624;co0007143
tt0015634;co0067251
tt0015643;co0049261
tt0015648;co0024010
tt0015648;co0114101
tt0015684;co0007143
tt0015687;co0002663
tt0015693;co0048175
tt0015758;co0004763
tt0015768;co0083828
tt0015772;co0061356
tt0015794;co0034089
tt0015801;co0031400
tt0015801;co0036242
tt0015841;co0137892
tt0015842;co0074639
tt0015847;co0012572
tt0015847;co0087547
tt0015847;co0088799
tt0015847;co0137475
tt0015847;co0721283
tt0015861;co0034902
tt0015861;co0044080
tt0015863;co0081891
tt0015864;co0028083
tt0015872;co0005073
tt0015881;co0047752
tt0015883;co0036242
tt0015909;co0000357
tt0015935;co0023813
tt0016004;co0002663
tt0016005;co0047752
tt0016006;co0077055
tt0016013;co0028775
tt0016023;co0007143
tt0016023;co0073404
tt0016028;co0064360
tt0016029;co0028775
tt0016039;co0041460
tt0016104;co0007143
tt0016104;co0371758
tt0016123;co0047752
tt0016142;co0007143
tt0016185;co0186635
tt0016185;co0723063
tt0016201;co0017222
tt0016205;co0023400
tt0016220;co0005073
tt0016226;co0017222
tt0016230;co0001429
tt0016230;co0011145
tt0016230;co0103051
tt0016232;co0014429
tt0016232;co0082104
tt0016240;co0001429
tt0016240;co0014144
tt0016240;co0062128
tt0016240;co0607748
