movie_id;french_title;original_title;year;duration;rating;num_rate;budget
tt0478813;Le piège;Klopka;2007;106.0;7.9;8970.0;
tt0055441;Le piège;Shiiku;1961;105.0;6.8;184.0;
tt0070351;Le piège;The MacKintosh Man;1973;98.0;6.3;4215.0;
tt0080040;Le piège;Tourist Trap;1979;90.0;6.2;8567.0;
tt0111228;Le piège;The Soft Kill;1994;94.0;4.6;212.0;
tt0163019;Le piège (Il faut tuer Sekal);Je treba zabít Sekala;1998;109.0;7.3;918.0;
tt0064363;Le piège à pédales;The Gay Deceivers;1969;97.0;5.8;517.0;
tt1185437;Le piège américain;Le piège américain;2008;110.0;6.1;264.0;5829000.0
tt0020114;Le piège d'amour;The Love Trap;1929;71.0;6.5;176.0;
tt11897340;Le piège de Huda;Huda's Salon;2021;91.0;6.2;891.0;
tt0096372;Le piège de Vénus;Die Venusfalle;1988;107.0;5.7;396.0;
tt0288808;Le piège d'une liaison;Say Nothing;2001;94.0;4.8;617.0;
tt0076755;Le piège infernal;The Squeeze;1977;104.0;6.5;565.0;
tt0052216;Le pigeon;I soliti ignoti;1958;106.0;8.0;9427.0;
tt0041252;Le pigeon d'argile;The Clay Pigeon;1949;63.0;6.5;730.0;
tt0056349;Le pigeon qui sauva Rome;The Pigeon That Took Rome;1962;103.0;6.1;344.0;
tt0094005;Le pigeon vingt ans après;I soliti ignoti vent'anni dopo;1985;99.0;5.4;144.0;
tt0028776;Le pilote X;Death in the Air;1936;69.0;5.2;128.0;
tt0057581;Le piment de la vie;The Thrill of It All;1963;108.0;7.0;4885.0;
tt0078086;Le pion;Le pion;1978;88.0;5.4;347.0;
tt21372280;Le pion du général;Autobiography;2022;115.0;7.2;730.0;362932.0
tt0052805;Le pionnier de l'espace;First Man Into Space;1959;77.0;5.5;1280.0;137000.0
tt0229653;Le pique-nique de Lulu Kreutz;Le pique-nique de Lulu Kreutz;2000;102.0;5.0;104.0;
tt0040694;Le Pirate;The Pirate;1948;102.0;7.0;4416.0;3700000.0
tt0012016;Le pirate;Buried Treasure;1921;70.0;6.4;167.0;
tt0068442;Le pirate;Da hai dao;1973;92.0;6.0;148.0;
tt0075294;Le pirate des Caraïbes;Swashbuckler;1976;101.0;6.0;1524.0;
tt0047189;Le pirate des mers du sud;Long John Silver;1954;106.0;5.8;691.0;1000000.0
tt0046223;Le pirate des sept mers;Raiders of the Seven Seas;1953;88.0;5.7;397.0;
tt0016654;Le pirate noir;The Black Pirate;1926;88.0;7.1;1709.0;1300000.0
tt7405458;Le Pire voisin au monde;A Man Called Otto;2022;126.0;7.6;15735.0;50000000.0
tt0061893;Le pistolero de la rivière rouge;The Last Challenge;1967;105.0;6.1;918.0;
tt0062764;Le pistolero de l'enfer;Buckskin;1968;97.0;5.1;140.0;
tt0067676;Le pistolero de Tombstone;Rimase uno solo e fu la morte per tutti!;1971;84.0;3.7;115.0;
tt0066229;Le pistonné;Le pistonné;1970;91.0;6.0;120.0;
tt0045034;Le plaisir;Le plaisir;1952;97.0;7.7;4300.0;
tt0166308;Le plaisir (et ses petits tracas);Le plaisir (et ses petits tracas);1998;100.0;4.9;266.0;
tt1105739;Le plaisir de chanter;Le plaisir de chanter;2008;99.0;6.0;266.0;
tt0067791;Le plaisir des dames;The Statue;1971;84.0;4.9;225.0;
tt1212436;Le plan B;The Back-up Plan;2010;104.0;5.4;48415.0;35000000.0
tt0075076;Le plein de super;Le plein de super;1976;97.0;6.8;186.0;
tt0063663;Le Plongeon;The Swimmer;1968;95.0;7.7;10225.0;
tt19513144;Le plongeur;Le plongeur;2023;127.0;7.2;463.0;
tt0101301;Le plus beau cadeau du monde;All I Want for Christmas;1991;92.0;6.0;4559.0;
tt0433020;Le plus beau jour de ma vie;Le plus beau jour de ma vie;2004;104.0;5.5;260.0;6095700.0
tt0114146;Le plus bel âge...;Le plus bel âge...;1995;85.0;6.5;181.0;
tt0036947;Le Plus dignement;Ichiban utsukushiku;1944;85.0;5.7;1818.0;
tt0120373;Le Plus Fou des Deux;Trial and Error;1997;98.0;5.8;5944.0;
tt0076111;Le plus grand;The Greatest;1977;102.0;6.0;1325.0;
tt0057952;Le Plus Grand Cirque du monde;Circus World;1964;135.0;6.2;2362.0;9000000.0
tt0064391;Le plus grand des hold-up;The Great Bank Robbery;1969;98.0;5.7;507.0;
tt0061749;Le plus Heureux des milliardaires;The Happiest Millionaire;1967;141.0;6.8;1803.0;
tt0057163;Le plus sauvage d'entre tous;Hud;1963;112.0;7.8;19747.0;2500000.0
tt0081249;Le plus secret des agents secrets;The Nude Bomb;1980;94.0;5.2;3019.0;15000000.0
tt0790663;Le plus vieil écolier du monde;The First Grader;2010;103.0;7.4;4392.0;
tt0062137;Le Plus Vieux Métier du monde;Le plus vieux métier du monde;1967;119.0;5.5;411.0;
tt0053177;Le poème de la mer;Poema o more;1958;95.0;6.3;118.0;
tt0210382;Le poids de l'eau;The Weight of Water;2000;114.0;5.9;9033.0;16000000.0
tt0115645;Le poids du déshonneur;Before and After;1996;108.0;6.1;8238.0;35000000.0
tt0037885;Le Poids d'un mensonge;Love Letters;1945;101.0;7.1;1425.0;
tt0052820;Le poignard de bambou;The Four Skulls of Jonathan Drake;1959;70.0;5.8;961.0;
tt0033062;Le poignard mystérieux;Slightly Honorable;1939;85.0;6.1;381.0;
tt0076827;Le Poignard volant;Duo qing jian ke wu qing jian;1977;96.0;6.6;326.0;
tt1517506;Le poil de la bête;Le poil de la bête;2010;100.0;5.2;550.0;3015000.0
tt0079484;Le poing de la vengeance;Long quan;1979;97.0;6.2;2060.0;
tt0080905;Le Poing mortel du dragon;Hong Wending san po bai lian jiao;1980;95.0;7.3;1411.0;
tt0103307;Le point de non retour;Yi chu ji fa;1991;97.0;6.4;165.0;
tt0062138;Le point de non-retour;Point Blank;1967;92.0;7.3;18555.0;3000000.0
tt0020670;Le point faible;Be Yourself!;1930;65.0;5.8;163.0;
tt6628102;Le poirier sauvage;Ahlat Agaci;2018;188.0;8.1;21235.0;
tt0037884;Le poison;The Lost Weekend;1945;101.0;7.9;33771.0;1250000.0
tt0082402;Le Policeman;Fort Apache the Bronx;1981;125.0;6.7;5710.0;
tt1978447;Le Policier;Ha-shoter;2011;105.0;6.3;888.0;
tt0003930;Le policier apache;Fantômas contre Fantômas;1914;59.0;6.9;1195.0;
tt0117356;Le polygraphe;Le polygraphe;1996;92.0;6.9;439.0;
tt0041792;Le poney rouge;The Red Pony;1949;89.0;6.3;904.0;2000000.0
tt0052654;Le Pont;Die Brücke;1959;103.0;8.0;7164.0;
tt0083736;Le pont;Ciao nemico;1983;82.0;5.4;107.0;
tt0074292;Le pont de Cassandra;The Cassandra Crossing;1976;129.0;6.4;7989.0;6000000.0
tt0064110;Le pont de Remagen;The Bridge at Remagen;1969;115.0;6.7;8711.0;
tt0410466;Le pont des Arts;Le pont des Arts;2004;126.0;6.9;842.0;
tt0082927;Le pont du Nord;Le pont du Nord;1981;129.0;7.0;982.0;
tt0356443;Le pont du roi Saint-Louis;The Bridge of San Luis Rey;2004;120.0;5.1;3373.0;24000000.0
tt0262699;Le pornographe;Le pornographe;2001;108.0;5.2;2304.0;1260000.0
tt0046187;Le port de la drogue;Pickup on South Street;1953;80.0;7.7;13063.0;780000.0
tt0037382;Le port de l'angoisse;To Have and Have Not;1944;100.0;7.8;31288.0;
tt0093919;Le port des filles perdues;Savage Harbor;1987;85.0;4.6;143.0;
tt0046425;Le port des passions;Thunder Bay;1953;103.0;6.5;1570.0;
tt0101760;Le porte del silenzio;Le porte del silenzio;1991;87.0;5.5;535.0;
tt0037466;Le porte-avions X;Wing and a Prayer;1944;97.0;6.6;1249.0;
tt0117283;Le porteur de cercueil;The Pallbearer;1996;98.0;4.9;7824.0;8000000.0
tt0102693;Le porteur de serviette;Il portaborse;1991;95.0;7.0;768.0;
tt0037988;Le Portrait de Dorian Gray;The Picture of Dorian Gray;1945;110.0;7.5;11985.0;3500000.0
tt0040705;Le portrait de Jennie;Portrait of Jennie;1948;86.0;7.7;6262.0;4041000.0
tt7241074;Le poulain;Le poulain;2018;97.0;5.6;387.0;4855500.0
tt0047059;Le poulain noir;Gypsy Colt;1954;72.0;6.3;213.0;
tt0162555;Le poulpe;Le poulpe;1998;100.0;6.6;635.0;
tt0156906;Le pouvoir de la province de Kangwon;Kangwon-do ui him;1998;110.0;7.1;760.0;
tt0079745;Le Pré;Il prato;1979;115.0;6.3;336.0;
tt1331297;Le pré obscur;Mavro livadi;2009;104.0;6.3;644.0;1053000.0
tt11559138;Le prédateur;El cazador;2020;101.0;6.0;634.0;
tt0118632;Le prédicateur;The Apostle;1997;134.0;7.2;13491.0;5000000.0
tt0037701;Le premier Américain à Tokyo;First Yank Into Tokyo;1945;82.0;5.3;224.0;
tt1130993;Le premier cercle;Le premier cercle;2009;95.0;5.4;3250.0;
tt0122574;Le premier cri;Krik;1964;80.0;6.9;166.0;
tt1349457;Le Premier homme;Le premier homme;2011;101.0;6.9;513.0;
tt0166707;Le premier jour;O Primeiro Dia;1998;75.0;6.7;699.0;
tt0926759;Le premier jour du reste de ta vie;Le premier jour du reste de ta vie;2008;114.0;7.6;9177.0;
tt0059585;Le Premier Maître;Pervyy uchitel;1965;102.0;7.5;471.0;
tt0034065;Le premier ministre;The Prime Minister;1941;94.0;5.7;238.0;
tt0099578;Le premier pouvoir;The First Power;1990;98.0;5.8;3684.0;10000000.0
tt1405810;Le premier qui l'a dit;Mine vaganti;2010;110.0;7.3;11740.0;
tt0031033;Le premier rebelle;Allegheny Uprising;1939;81.0;6.3;1532.0;696000.0
tt7278824;Le Premier roi;Il primo re;2019;123.0;6.5;4687.0;9360000.0
tt1068658;Le premier venu;Le premier venu;2008;121.0;5.6;171.0;
tt3966942;Le Président;The President;2014;119.0;7.4;1480.0;
tt0055336;Le président;Le président;1961;110.0;7.2;823.0;
tt0010598;Le président;Præsidenten;1919;75.0;6.6;790.0;
tt0024044;Le Président dictateur;Gabriel Over the White House;1933;86.0;6.4;1219.0;
tt0023334;Le président fantôme;The Phantom President;1932;78.0;5.9;130.0;
tt0033973;Le président Krüger;Ohm Krüger;1941;124.0;6.9;198.0;
tt0474312;Le pressentiment;Le pressentiment;2006;97.0;7.2;355.0;
tt0074554;Le prête-nom;The Front;1976;95.0;7.3;8232.0;
tt0059575;Le prêteur sur gages;The Pawnbroker;1964;116.0;7.7;8511.0;930000.0
tt10603372;Le prince;Le Prince;2021;125.0;6.5;63.0;
tt0100281;Le Prince Casse-noisette;The Nutcracker Prince;1990;75.0;6.9;2218.0;
tt0372334;Le prince de Greenwich Village;House of D;2004;97.0;6.9;8984.0;6000000.0
tt0119948;Le prince de Hombourg de Heinrich von Kleist;Il principe di Homburg;1997;89.0;6.7;410.0;
tt0110891;Le prince de Jutland;Prince of Jutland;1994;103.0;5.6;2024.0;
tt0095903;Le prince de Pennsylvanie;The Prince of Pennsylvania;1988;87.0;5.7;1095.0;
tt0120741;Le prince de Sicile;Jane Austen's Mafia!;1998;87.0;5.7;14609.0;10000000.0
tt0048510;Le prince des acteurs;Prince of Players;1955;102.0;6.6;364.0;1570000.0
tt0102713;Le prince des marées;The Prince of Tides;1991;132.0;6.8;16435.0;30000000.0
tt1217620;Le prince des mille et une nuits;Lippels Traum;2009;101.0;5.6;135.0;
tt0060408;Le prince Donegal;The Fighting Prince of Donegal;1966;110.0;6.2;344.0;
tt0246870;Le prince du Pacifique;Le prince du Pacifique;2000;90.0;4.7;652.0;
tt0100410;Le prince du Tibet;Tai yang zhi zi;1990;93.0;5.3;256.0;35000000.0
tt0029440;Le prince et le pauvre;The Prince and the Pauper;1937;118.0;7.2;2347.0;858000.0
tt0077381;Le prince et le pauvre;The Prince and the Pauper;1977;113.0;6.3;1638.0;8000000.0
tt0173052;Le prince et le surfeur;The Prince and the Surfer;1999;98.0;4.4;264.0;
tt0337697;Le prince et moi;The Prince & Me;2004;111.0;5.9;37773.0;22000000.0
tt0047537;Le prince étudiant;The Student Prince;1954;107.0;6.5;816.0;
tt0354770;Le prince Nezha triomphe du roi dragon;Nezha nao hai;1979;65.0;7.8;891.0;
tt0058553;Le prince noir;Der Schut;1964;118.0;5.9;630.0;
tt0016544;Le Prince qu'on sort;The Wizard of Oz;1925;81.0;5.1;1409.0;
tt14533826;Le principal;Le principal;2022;82.0;6.3;22.0;
tt0403426;Le principe d'Archimède;El principio de Arquímedes;2004;100.0;6.5;168.0;
tt0086911;Le principe de l'Arche de Noé;Das Arche Noah Prinzip;1984;100.0;4.9;836.0;600000.0
tt0303162;Le principe de l'incertitude;O Princípio da Incerteza;2002;133.0;6.6;372.0;
tt0039954;Le printemps;Vesna;1947;104.0;7.1;415.0;
tt0275862;Le printemps du football;Pirveli mertskhali;1975;75.0;7.2;175.0;
tt0189219;Le printemps d'une petite ville;Xiao cheng zhi chun;1948;98.0;7.4;2620.0;
tt0055798;Le prisonnier d'Alcatraz;Birdman of Alcatraz;1962;147.0;7.8;16244.0;2650000.0
tt0072034;Le prisonnier de la seconde avenue;The Prisoner of Second Avenue;1975;98.0;6.7;3091.0;
tt0029442;Le prisonnier de Zenda;The Prisoner of Zenda;1937;101.0;7.7;4158.0;1250000.0
tt0045053;Le Prisonnier de Zenda;The Prisoner of Zenda;1952;96.0;7.0;3298.0;1708000.0
tt0079753;Le prisonnier de Zenda;The Prisoner of Zenda;1979;108.0;5.3;1085.0;12500000.0
tt0116754;Le prisonnier du Caucase;Kavkazskiy plennik;1996;99.0;7.5;4206.0;
tt0050287;Le prisonnier du temple;Dangerous Exile;1957;88.0;5.6;214.0;
tt0045487;Le prisonnier fantôme;Albert, R.N.;1953;88.0;6.8;276.0;109600.0
