movie_id;genre_id
tt0009892;13
tt0009892;20
tt0009892;25
tt0009893;6
tt0009894;1
tt0009894;7
tt0009900;3
tt0009900;20
tt0009900;26
tt0009915;9
tt0009915;24
tt0009915;25
tt0009937;9
tt0009937;20
tt0009968;9
tt0009968;20
tt0009976;9
tt0009976;23
tt0010040;6
tt0010040;9
tt0010060;6
tt0010060;9
tt0010071;6
tt0010103;9
tt0010137;9
tt0010162;6
tt0010193;9
tt0010195;3
tt0010195;9
tt0010208;9
tt0010219;3
tt0010219;6
tt0010219;20
tt0010227;9
tt0010227;20
tt0010247;9
tt0010247;13
tt0010267;6
tt0010281;6
tt0010281;20
tt0010298;9
tt0010307;9
tt0010307;14
tt0010307;25
tt0010323;11
tt0010323;14
tt0010323;17
tt0010323;24
tt0010418;3
tt0010418;9
tt0010456;6
tt0010466;9
tt0010484;9
tt0010559;9
tt0010559;13
tt0010559;14
tt0010598;9
tt0010600;6
tt0010600;11
tt0010635;6
tt0010635;9
tt0010635;23
tt0010662;3
tt0010662;20
tt0010662;26
tt0010680;9
tt0010680;20
tt0010726;3
tt0010726;26
tt0010755;9
tt0010755;20
tt0010806;6
tt0010806;9
tt0010806;20
tt0010821;11
tt0010821;14
tt0010821;17
tt0010844;9
tt0010844;20
tt0010853;3
tt0010853;17
tt0010853;26
tt0010879;1
tt0010879;6
tt0010879;20
tt0010890;7
tt0010890;9
tt0010925;6
tt0010953;11
tt0010953;21
tt0010962;5
tt0010962;9
tt0010962;20
tt0010964;7
tt0010964;9
tt0010969;3
tt0010969;11
tt0010969;17
tt0011000;9
tt0011130;9
tt0011130;14
tt0011130;21
tt0011157;6
tt0011157;20
tt0011173;7
tt0011173;9
tt0011173;20
tt0011193;6
tt0011193;20
tt0011217;9
tt0011221;14
tt0011237;11
tt0011237;14
tt0011267;5
tt0011267;6
tt0011267;9
tt0011267;23
tt0011294;9
tt0011302;9
tt0011317;9
tt0011344;9
tt0011358;6
tt0011358;9
tt0011358;26
tt0011369;9
tt0011370;9
tt0011371;6
tt0011371;20
tt0011387;1
tt0011387;3
tt0011387;9
tt0011414;6
tt0011414;20
tt0011415;9
tt0011439;3
tt0011439;20
tt0011439;26
tt0011440;9
tt0011474;3
tt0011474;6
tt0011474;20
tt0011513;9
tt0011588;6
tt0011588;9
tt0011588;10
tt0011607;6
tt0011607;9
tt0011607;14
tt0011623;9
tt0011641;6
tt0011647;6
tt0011647;26
tt0011652;6
tt0011679;9
tt0011716;9
tt0011723;3
tt0011741;6
tt0011741;9
tt0011741;20
tt0011742;3
tt0011742;9
tt0011742;20
tt0011753;17
tt0011779;3
tt0011779;9
tt0011779;26
tt0011833;9
tt0011833;24
tt0011837;20
tt0011841;9
tt0011841;20
tt0011865;6
tt0011865;9
tt0011870;9
tt0011870;20
tt0011904;7
tt0011904;9
tt0011904;17
tt0011904;20
tt0011904;24
tt0011908;1
tt0011908;3
tt0011909;6
tt0011909;9
tt0011948;6
tt0011960;6
tt0011960;9
tt0011960;20
tt0011979;9
tt0011979;20
tt0012016;3
tt0012016;11
tt0012016;20
tt0012027;9
tt0012027;20
tt0012068;9
tt0012068;20
tt0012122;6
tt0012122;9
tt0012122;20
tt0012125;6
tt0012125;20
tt0012134;9
tt0012136;6
tt0012187;9
tt0012190;9
tt0012190;20
tt0012190;25
tt0012249;9
tt0012281;9
tt0012313;3
tt0012313;11
tt0012314;3
tt0012314;11
tt0012334;9
tt0012349;6
tt0012349;9
tt0012349;10
tt0012364;9
tt0012364;11
tt0012364;14
tt0012382;6
tt0012397;9
tt0012408;9
tt0012465;6
tt0012465;9
tt0012486;6
tt0012486;9
tt0012494;9
tt0012494;11
tt0012494;14
tt0012494;24
tt0012513;1
tt0012513;6
tt0012513;20
tt0012532;9
tt0012532;13
tt0012532;20
tt0012538;7
tt0012538;20
tt0012538;24
tt0012631;9
tt0012642;6
tt0012645;9
tt0012650;9
tt0012651;7
tt0012651;9
tt0012651;14
tt0012651;17
tt0012675;3
tt0012675;9
tt0012675;20
tt0012699;9
tt0012745;9
tt0012752;1
tt0012752;3
tt0012752;20
tt0012755;6
tt0012755;9
tt0012763;9
