movie_id;language_id
tt0015648;198
tt0015684;168
tt0015684;64
tt0015687;168
tt0015687;64
tt0015693;168
tt0015693;64
tt0015758;168
tt0015758;64
tt0015768;168
tt0015768;55
tt0015772;168
tt0015772;64
tt0015794;168
tt0015801;168
tt0015801;72
tt0015841;168
tt0015841;64
tt0015842;168
tt0015842;78
tt0015847;168
tt0015861;168
tt0015863;168
tt0015863;64
tt0015864;168
tt0015864;64
tt0015872;168
tt0015872;64
tt0015881;168
tt0015881;64
tt0015883;168
tt0015883;72
tt0015909;168
tt0015909;64
tt0015935;168
tt0016004;168
tt0016004;64
tt0016005;168
tt0016005;64
tt0016006;168
tt0016013;168
tt0016013;64
tt0016023;168
tt0016023;64
tt0016028;168
tt0016028;64
tt0016028;80
tt0016029;64
tt0016039;168
tt0016104;168
tt0016123;168
tt0016123;64
tt0016142;168
tt0016142;64
tt0016185;168
tt0016201;168
tt0016201;64
tt0016205;168
tt0016205;64
tt0016220;0
tt0016226;168
tt0016226;64
tt0016230;168
tt0016230;64
tt0016232;168
tt0016232;72
tt0016240;168
tt0016241;168
tt0016241;64
tt0016258;168
tt0016258;64
tt0016276;168
tt0016276;64
tt0016288;168
tt0016288;64
tt0016294;168
tt0016294;64
tt0016308;168
tt0016308;64
tt0016309;168
tt0016309;64
tt0016310;168
tt0016332;168
tt0016332;64
tt0016338;168
tt0016338;64
tt0016377;168
tt0016377;64
tt0016392;168
tt0016394;168
tt0016394;64
tt0016395;168
tt0016395;64
tt0016461;168
tt0016461;64
tt0016473;168
tt0016473;64
tt0016480;168
tt0016480;64
tt0016481;168
tt0016481;78
tt0016491;168
tt0016491;72
tt0016493;168
tt0016493;72
tt0016544;168
tt0016545;168
tt0016545;64
tt0016548;168
tt0016559;168
tt0016560;168
tt0016560;64
tt0016563;168
tt0016627;168
tt0016627;64
tt0016629;168
tt0016629;64
tt0016630;168
tt0016630;64
tt0016634;168
tt0016634;64
tt0016640;168
tt0016640;64
tt0016643;64
tt0016643;78
tt0016646;168
tt0016646;64
tt0016654;168
tt0016655;168
tt0016655;64
tt0016664;168
tt0016664;64
tt0016669;168
tt0016672;168
tt0016672;64
tt0016690;168
tt0016690;64
tt0016691;168
tt0016762;168
tt0016762;64
tt0016804;64
tt0016822;168
tt0016822;64
tt0016827;168
tt0016827;64
tt0016832;168
