actor_id;name
nm0000719;F. Murray Abraham
nm0000720;Jim Abrahams
nm0000721;Victoria Abril
nm0000722;Joss Ackland
nm0000723;Deborah Adair
nm0000724;Brooke Adams
nm0000725;Joey Lauren Adams
nm0000726;Maud Adams
nm0000728;Mario Adorf
nm0000729;Casey Affleck
nm0000730;John Agar
nm0000731;Brian Aherne
nm0000732;Danny Aiello
nm0000733;Anouk Aimée
nm0000734;Eddie Albert
nm0000737;Jane Alexander
nm0000738;Muhammad Ali
nm0000739;Debbie Allen
nm0000741;Tim Allen
nm0000742;June Allyson
nm0000743;Néstor Almendros
nm0000744;Maria Conchita Alonso
nm0000745;Carol Alt
nm0000746;Trini Alvarado
nm0000747;Don Ameche
nm0000748;Leon Ames
nm0000749;Mädchen Amick
nm0000751;Suzy Amis
nm0000752;Judith Anderson
nm0000754;Kevin Anderson
nm0000755;Lindsay Anderson
nm0000756;Loni Anderson
nm0000757;Melissa Sue Anderson
nm0000758;Melody Anderson
nm0000760;Richard Dean Anderson
nm0000761;Bibi Andersson
nm0000762;Anthony Andrews
nm0000763;Dana Andrews
nm0000764;André René Roussimoff
nm0000765;Pier Angeli
nm0000766;Theodoros Angelopoulos
nm0000767;Jean-Hugues Anglade
nm0000768;Francesca Annis
nm0000769;Susan Anspach
nm0000771;Lysette Anthony
nm0000772;Susan Anton
nm0000773;Laura Antonelli
nm0000775;Christina Applegate
nm0000778;Alfonso Arau
nm0000779;Roscoe 'Fatty' Arbuckle
nm0000780;Denys Arcand
nm0000781;Eve Arden
nm0000782;Asia Argento
nm0000783;Dario Argento
nm0000784;Pedro Armendáriz
nm0000786;George Armitage
nm0000787;Bess Armstrong
nm0000789;Desi Arnaz
nm0000790;James Arness
nm0000792;Tom Arnold
nm0000793;Alexis Arquette
nm0000794;Lewis Arquette
nm0000795;Jean Arthur
nm0000796;Dana Ashbrook
nm0000798;Linden Ashby
nm0000799;Edward Asner
nm0000800;Armand Assante
nm0000802;Mary Astor
nm0000803;Christopher Atkins
nm0000804;Stéphane Audran
nm0000805;Claudine Auger
nm0000808;Paul Auster
nm0000809;Daniel Auteuil
nm0000810;Gene Autry
nm0000811;Frankie Avalon
nm0000812;Roger Avary
nm0000814;John G. Avildsen
nm0000815;Mili Avital
nm0000817;Lew Ayres
nm0000818;Shabana Azmi
nm0000819;Barbara Bach
nm0000821;Amitabh Bachchan
nm0000822;Jim Backus
nm0000823;Angelo Badalamenti
nm0000825;Mary Badham
nm0000826;Jane Badler
nm0000827;Maxine Bahns
nm0000828;Barbara Bain
nm0000829;Stuart Baird
nm0000832;Diane Baker
nm0000833;Joe Don Baker
nm0000834;Kathy Baker
nm0000835;Ralph Bakshi
nm0000836;Scott Bakula
nm0000837;Bob Balaban
nm0000838;Daniel Baldwin
nm0000839;Ina Balin
nm0000840;Lucille Ball
nm0000841;Michael Ballhaus
nm0000842;Martin Balsam
nm0000843;Anne Bancroft
nm0000844;Tamasaburô Bandô
nm0000845;Tallulah Bankhead
nm0000846;Ian Bannen
nm0000847;Theda Bara
nm0000848;Olivia Barash
nm0000849;Javier Bardem
nm0000850;Clive Barker
nm0000851;Lex Barker
nm0000852;Jean-Marc Barr
nm0000854;Majel Barrett
nm0000855;Raymond J. Barry
nm0000856;Ethel Barrymore
nm0000857;John Drew Barrymore
nm0000858;John Barrymore
nm0000859;Lionel Barrymore
nm0000860;Paul Bartel
nm0000861;Freddie Bartholomew
nm0000862;Robin Bartlett
nm0000863;Billy Barty
nm0000864;Mikhail Baryshnikov
nm0000865;Richard Basehart
nm0000867;Jason Bateman
nm0000868;Justine Bateman
nm0000869;Alan Bates
nm0000870;Kathy Bates
nm0000871;Randall Batinkoff
nm0000872;Patrick Bauchau
nm0000873;Belinda Bauer
nm0000874;Steven Bauer
nm0000876;Noah Baumbach
nm0000877;Lamberto Bava
nm0000879;Anne Baxter
nm0000880;Meredith Baxter
nm0000881;Michael Bay
nm0000882;Nathalie Baye
nm0000883;Stephanie Beacham
nm0000884;Jennifer Beals
nm0000885;Ned Beatty
nm0000886;Warren Beatty
nm0000888;Meret Becker
nm0000889;Bonnie Bedelia
nm0000890;Noah Beery Jr.
nm0000891;Wallace Beery
nm0000892;Jason Beghe
nm0000893;Ed Begley Jr.
nm0000895;Barbara Bel Geddes
nm0000896;Harry Belafonte
nm0000897;Ralph Bellamy
nm0000898;Kathleen Beller
nm0000899;Monica Bellucci
nm0000900;Pamela Bellwood
nm0000901;Jean-Paul Belmondo
nm0000902;Jim Belushi
nm0000903;Brian Benben
nm0000904;William Bendix
nm0000905;Roberto Benigni
nm0000906;Annette Bening
nm0000907;Richard Benjamin
nm0000908;David Bennent
nm0000909;Constance Bennett
nm0000910;Joan Bennett
nm0000911;Nigel Bennett
nm0000912;Jack Benny
nm0000913;Robby Benson
nm0000916;Peter Berg
nm0000917;Polly Bergen
nm0000918;Helmut Berger
nm0000919;Senta Berger
nm0000920;Patrick Bergin
nm0000922;Sandahl Bergman
nm0000923;Busby Berkeley
nm0000924;Elizabeth Berkley
nm0000925;Steven Berkoff
nm0000926;Milton Berle
nm0000928;Sandra Bernhard
nm0000929;Corbin Bernsen
nm0000931;Elizabeth Berridge
nm0000932;Halle Berry
nm0000933;Valerie Bertinelli
nm0000934;Bernardo Bertolucci
nm0000935;Bibi Besch
nm0000936;Martine Beswick
nm0000937;Richard Beymer
nm0000938;Daniela Bianchi
nm0000941;Kathryn Bigelow
nm0000942;Theodore Bikel
nm0000943;Traci Bingham
nm0000945;Jane Birkin
nm0000946;Whit Bissell
nm0000947;Karen Black
nm0000948;Shane Black
nm0000949;Cate Blanchett
nm0000950;Brenda Blethyn
nm0000951;Joan Blondell
nm0000952;Hart Bochner
nm0000953;Peter Bogdanovich
nm0000954;Jon Bon Jovi
nm0000955;Ward Bond
nm0000956;Lisa Bonet
nm0000958;John Boorman
nm0000959;Powers Boothe
nm0000960;Barry Bostwick
nm0000961;Timothy Bottoms
nm0000962;Carole Bouquet
nm0000963;Stephen Boyd
nm0000964;Charles Boyer
nm0000966;Lorraine Bracco
nm0000967;Eric Braeden
nm0000968;Sonia Braga
nm0000969;Lillo Brancato
nm0000970;Jonathan Brandis
nm0000971;Nicoletta Braschi
nm0000972;Tinto Brass
nm0000973;Benjamin Bratt
nm0000974;Walter Brennan
nm0000977;Beau Bridges
nm0000978;Lloyd Bridges
nm0000979;Wilford Brimley
nm0000980;Jim Broadbent
nm0000981;James Brolin
nm0000982;Josh Brolin
nm0000983;Albert Brooks
nm0000984;Avery Brooks
nm0000985;James L. Brooks
nm0000986;Bryan Brown
nm0000987;Jim Brown
nm0000989;Yul Brynner
nm0000990;Betty Buckley
nm0000991;Geneviève Bujold
nm0000992;Billie Burke
nm0000993;Carol Burnett
nm0000994;Raymond Burr
nm0000995;Ellen Burstyn
nm0000996;LeVar Burton
nm0000997;Gary Busey
nm0000998;Jake Busey
nm0000999;Red Buttons
nm0001000;Tom Byron
nm0001001;James Caan
nm0001002;Dean Cain
nm0001003;Simon Callow
nm0001004;Billy Campbell
nm0001006;John Candy
nm0001007;Dyan Cannon
nm0001009;Kate Capshaw
nm0001010;Capucine
nm0001011;Irene Cara
nm0001012;Claudia Cardinale
nm0001013;Harry Carey Jr.
nm0001014;Mariah Carey
nm0001015;Robert Carlyle
nm0001016;David Carradine
nm0001017;John Carradine
nm0001018;Keith Carradine
nm0001019;Robert Carradine
nm0001020;Katrin Cartlidge
nm0001021;Veronica Cartwright
nm0001022;Dana Carvey
nm0001023;John Cassavetes
nm0001024;Nick Cassavetes
nm0001025;Seymour Cassel
nm0001026;Joanna Cassidy
nm0001028;Maxwell Caulfield
nm0001029;Jim Caviezel
nm0001030;John Cazale
nm0001031;Claude Chabrol
nm0001032;Marilyn Chambers
nm0001033;Lon Chaney Jr.
nm0001034;Rosalind Chao
nm0001035;Ben Chaplin
nm0001036;Geraldine Chaplin
nm0001037;Graham Chapman
nm0001038;Josh Charles
nm0001039;David Charvet
nm0001040;Joan Chen
nm0001041;Maggie Cheung
nm0001042;Lois Chiles
nm0001043;Anna Chlumsky
nm0001044;Rae Dawn Chong
nm0001045;Tommy Chong
nm0001046;Julie Christie
nm0001047;Michael Cimino
nm0001048;Andrew Dice Clay
