movie_id;director_id
tt0016005;nm0068419
tt0016006;nm0097648
tt0016013;nm0097648
tt0016023;nm0068419
tt0016028;nm0064415
tt0016029;nm0124877
tt0016039;nm0398464
tt0016104;nm0002233
tt0016123;nm0922327
tt0016142;nm0115218
tt0016185;nm0299398
tt0016201;nm0309163
tt0016205;nm0046082
tt0016220;nm0151606
tt0016220;nm0432216
tt0016220;nm0480677
tt0016220;nm0781292
tt0016226;nm0749484
tt0016230;nm0000033
tt0016232;nm0245213
tt0016240;nm0652302
tt0016240;nm0706795
tt0016241;nm0068419
tt0016258;nm0166836
tt0016276;nm0202590
tt0016276;nm0485943
tt0016288;nm0721840
tt0016294;nm0001124
tt0016308;nm0000428
tt0016309;nm0332539
tt0016310;nm0903049
tt0016332;nm0000036
tt0016338;nm0208113
tt0016338;nm0760547
tt0016377;nm0731910
tt0016392;nm0107713
tt0016394;nm0245385
tt0016395;nm0454771
tt0016461;nm0007215
tt0016461;nm0366586
tt0016473;nm0115218
tt0016480;nm0782707
tt0016481;nm0243295
tt0016491;nm0275494
tt0016493;nm0163229
tt0016544;nm0783865
tt0016545;nm0156173
tt0016545;nm0593180
tt0016548;nm0820461
tt0016559;nm0698839
tt0016560;nm0046082
tt0016560;nm0384276
tt0016563;nm0902304
tt0016627;nm0896542
tt0016629;nm0922327
tt0016630;nm0000036
tt0016634;nm0107543
tt0016640;nm0949648
tt0016643;nm0718469
tt0016646;nm0291548
tt0016654;nm0662032
tt0016655;nm0115218
tt0016664;nm0000406
tt0016669;nm0896542
tt0016672;nm0920074
tt0016690;nm0176699
tt0016691;nm0106950
tt0016762;nm0107543
tt0016804;nm0189076
tt0016822;nm0337586
tt0016827;nm0806061
tt0016832;nm0853130
tt0016847;nm0003638
tt0016854;nm0001328
tt0016871;nm0587277
tt0016871;nm0744514
tt0016884;nm0113284
tt0016895;nm0853130
tt0016914;nm0655065
tt0016939;nm0782597
tt0016947;nm0046082
tt0016953;nm0266691
tt0016953;nm0726166
tt0016971;nm0250034
tt0017004;nm0840042
tt0017028;nm0878338
tt0017029;nm0113284
tt0017048;nm0455938
tt0017075;nm0000033
tt0017082;nm0878338
tt0017096;nm0109264
tt0017103;nm0002271
tt0017119;nm0281808
tt0017120;nm0002271
tt0017128;nm0699877
tt0017136;nm0000485
tt0017159;nm0055823
tt0017159;nm0652974
tt0017184;nm0280205
tt0017195;nm0067384
tt0017196;nm0719756
tt0017198;nm0928214
tt0017226;nm0190516
tt0017271;nm0474487
tt0017293;nm0698839
tt0017329;nm0115218
tt0017338;nm0927468
tt0017350;nm0803705
tt0017354;nm0916224
tt0017374;nm0000406
tt0017378;nm0468882
tt0017378;nm0871185
tt0017382;nm0820461
tt0017409;nm0523932
tt0017410;nm0478441
tt0017416;nm0280463
tt0017419;nm0000428
tt0017423;nm0064415
tt0017423;nm0573743
tt0017437;nm0001008
tt0017438;nm0301961
tt0017448;nm0003638
tt0017449;nm0629243
tt0017449;nm0830249
tt0017463;nm0000406
tt0017480;nm0068419
tt0017483;nm0250034
tt0017519;nm0001124
tt0017534;nm0781292
tt0017540;nm0909825
tt0017567;nm0454771
tt0017619;nm0882160
tt0017621;nm0301961
tt0017632;nm0731910
tt0017653;nm0695604
tt0017653;nm0696049
tt0017662;nm0498174
tt0017662;nm0830249
tt0017667;nm0189076
tt0017726;nm0879802
tt0017735;nm0731910
tt0017736;nm0901502
tt0017739;nm0501902
tt0017750;nm0882160
tt0017751;nm0515979
tt0017751;nm0903049
tt0017765;nm0000036
tt0017765;nm0395023
tt0017809;nm0055823
tt0017825;nm0000033
tt0017832;nm0916224
tt0017843;nm0000033
tt0017860;nm0939992
tt0017886;nm0215877
tt0017918;nm0428059
tt0017925;nm0000036
tt0017925;nm0115669
tt0017928;nm0002188
tt0017938;nm0258477
tt0017961;nm0575963
tt0017998;nm0002061
tt0018014;nm0830249
tt0018016;nm0281808
tt0018033;nm0046082
tt0018033;nm0903049
tt0018037;nm0189076
