"imdb_id","french_title","original_title","year","duration","rating","num_rate","budget","synopsis","movie_id","genre_id","genre_id-2","name","movie_id-2","country_id","country_id-2","country"
"tt0090055","Pourvu que ce soit une fille","Speriamo che sia femmina",1986,120,"6.6",638,NULL,"Elena lives on a Tuscan farm, separated from her ineffectual husband Leonardo, who is more concerned with his mistress Lolli than his wife or two daughters, Franca and Malvina. This collection of female figures inhabiting a world virtually without men is completed by Elena's sister Claudia and Elena's housekeeper Fosca. The only male in the house is a senile old uncle who spends most of his time knitting. This unusual stable female environment is suddenly shaken by several crises.","tt0090055",9,9,"Drama","tt0090055",60,60,"France"
"tt0090125","Tangos: l'exil de Gardel","El exilio de Gardel: Tangos",1985,119,"7.2",581,NULL,"In the sorrow of exile, a group of Argentinians in Paris seek solace and connection to their culture by staging a set of tangos. The film alternates between their vibrant rehearsals and their circumscribed lives in low-rent apartments, underemployed, fitfully communicating with families back home, trying to make do with what they hope are only temporary arrangements in a foreign land.","tt0090125",9,9,"Drama","tt0090125",60,60,"France"
"tt0090171","Le thé au harem d'Archimède","Le thé au harem d'Archimède",1985,110,"6.9",395,NULL,"In a depressing concrete Parisian suburb in the seventies two friends are keeping boredom at bay with loitering and petty crime.","tt0090171",9,9,"Drama","tt0090171",60,60,"France"
"tt0090234","Une femme en Afrique","Une femme en Afrique",1985,85,"6.9",111,NULL,"A man invites a woman to share his room in a hostel in Djibouti because she seems to have some problems. Gradually he falls in love with her. They embark on a trip to the towns in the desert and, on the way, they learn more about each other. The man never appears on screen, so the camera becomes his point of view.","tt0090234",9,9,"Drama","tt0090234",60,60,"France"
"tt0090385","L'été prochain","L'été prochain",1985,105,"6",107,NULL,"Edouard is patriarch of a large family: his second wife, Jeanne, has just had a baby and finally had enough of his philandering. His eldest daughter, Dino, lives with Paul, a playwright: theirs is a passionate relationship dogged by the dissatisfactions of daily life. Another daughter Sidonie comes into adulthood in love with Jude, both are musicians, except that she has a phobia about performing in public. After Jeanne throws Edouard out, the film jumps ahead seven years to pick up the resolution of these three relationships, brought to a crisis by Edouard's sudden illness. Can Sidonie play in public, can Paul and Dino live together, will mama and papa reconcile?","tt0090385",9,9,"Drama","tt0090385",60,60,"France"
"tt0090557","Autour de minuit","Round Midnight",1986,133,"7.4",4610,NULL,"In 'Round Midnight, real-life jazz legend Dexter Gordon brilliantly portrays the fictional tenor sax player Dale Turner, a musician slowly losing the battle with alcoholism, estranged from his family, and hanging on by a thread in the 1950's New York jazz world. Dale gets an offer to play in Paris, where, like many other black American musicians at the time, he enjoys a respect for his humanity that is not based upon the color of his skin. A Parisian man who is obsessed with Turner's music befriends him and attempts to save Turner from himself. Although for Dale the damage is already done, his poignant relationship with the man and his young daughter re-kindles his spirit and his music as the end draws near.","tt0090557",9,9,"Drama","tt0090557",60,60,"France"
"tt0090561","27 heures","27 horas",1986,81,"6.5",806,NULL,"Jon, a twenty-year-old boy from San Sebastián, gets up at seven in the morning and, from that moment on, we watch how he lives his friendship with Patxi and Maite, love, family relationships, his confusion about the future and, above all, his dark passion for drugs.","tt0090561",9,9,"Drama","tt0090561",60,60,"France"
"tt0090563","37.2 le matin","37°2 le matin",1986,185,"7.4",18191,NULL,"Zorg is a handyman working at the seaside in France, maintaining and looking after the wooden bungalows. He lives a quiet and peaceful life, working diligently and writing in his spare time. He is in love with Betty, a young woman who is as beautiful as she is wild and unpredictable. After a dispute with Zorg's boss, they leave and Betty finds a place to stay at her girlfriend's house. The girlfriend's lover owns an Italian restaurant and there they find a job. She is obsessed to try to get one of Zorg's books published, but it is rejected, which makes Betty fly into a rage. Suddenly, Betty's wild manners start to get out of control. Zorg sees the woman he loves slowly going insane. Is his love for Betty strong enough, if even if it comes to the worst?","tt0090563",9,9,"Drama","tt0090563",60,60,"France"
"tt0090565","4 aventures de Reinette et Mirabelle","4 aventures de Reinette et Mirabelle",1987,99,"7.7",2074,NULL,"Reinette and Mirabelle are two young girls. Reinette lives in the countryside, Mirabelle in Paris. They meet during a holiday of Mirabelle in the country, when Reinette helps her to repair the tube of her bicycle and shows her the beauties of nature and in particular the 'blue hour'. They like each other and decide to take a flat together in Paris, where they'll attend at the University. But isn't so easy to live together when the characters are so different: as Reinette is simple and enthusiastic, as Mirabelle is obscure and lazy.","tt0090565",9,9,"Drama","tt0090565",60,60,"France"
"tt0090624","Scirocco","Amantide - Scirocco",1987,88,"5.1",180,NULL,"A photographer travels to Morocco to stay with her engineer husband and shoot some photos. He was sent there by an international oil company to check on an oil drilling site. While traveling there she has erotic adventures with residents of the area. But she ends up having an affair with someone who ends up betraying her and she murders the man.","tt0090624",9,9,"Drama","tt0090624",60,60,"France"
